"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20004769,"  4769 Castalia (1989 PB)",4769,Castalia,,Y,Y,0,17.50,,,,,,,1.4,,0.092,4.095,,,,,,,,,"JPL 146",2460600.5,60600,2024-10-17.0,J2000,0.4832,1.063,0.549,8.88,325.51,121.44,324.11,1.58,0.8992,2460640.41,2024-11-25.9,400,1.1,0.0205,7.98,3.67,5.68,2.6e-09,7.4e-10,2.4e-09,1.8e-07,1.1e-06,1.3e-06,3.2e-06,1.1e-09,9.4e-10,3.7e-06,4.2e-07,APO,"Otto Matic",12834,1989-08-01,2024-09-20,772,8,7,0,.64485,,,,-7.3e-15,6.7e-16,,,,
20004953,"  4953 (1990 MU)",4953,,,Y,Y,0,14.94,,,,,,,,,,14.218,,,,,,,,,"JPL 353",2460600.5,60600,2024-10-17.0,J2000,0.6574,1.621,0.555,24.38,77.53,77.93,285.02,2.69,0.4774,2460757.54,2025-03-23.0,754,2.06,0.0259,10.1,2.73,3.98,1.6e-09,3.7e-10,2.5e-09,7.7e-08,2.2e-07,2.8e-07,5.0e-07,6.1e-10,1.6e-10,1.1e-06,2.6e-07,APO,"Otto Matic",18333,1974-07-21,2024-09-29,2768,0,2,0,.4125,,,,,,,,,
20005011,"  5011 Ptah (6743 P-L)",5011,Ptah,,Y,Y,0,16.70,,,,,,,,,,56.3,,,,,,,,,"JPL 157",2460600.5,60600,2024-10-17.0,J2000,0.5001,1.636,0.818,7.41,10.63,105.94,173.66,2.45,0.471,2460231.78,2023-10-14.2,764,2.09,0.0252,9.81,2.7,4.14,5.4e-08,6.8e-09,8.5e-08,3.9e-06,3.2e-05,3.2e-05,2.2e-05,1.0e-08,2.9e-09,4.4e-05,4.8e-06,APO,"Otto Matic",23011,1960-09-24,2023-09-25,639,,,0,.50553,,,,,,,,,
20005189,"  5189 (1990 UQ)",5189,,,Y,Y,0,17.84,,,,,,,,,,6.653,,,,,,,,,"JPL 310",2460600.5,60600,2024-10-17.0,J2000,0.4783,1.552,0.809,3.58,135.05,159.95,257.64,2.29,0.51,2460801.21,2025-05-05.7,706,1.93,0.0448,17.4,2.92,4.31,3.5e-10,2.9e-10,6.1e-10,4.2e-08,1.1e-06,1.1e-06,2.9e-07,4.2e-10,1.4e-10,6.3e-07,2.0e-07,APO,"Otto Matic",12135,1990-10-20,2024-01-10,1789,4,1,0,.43287,,,,,,,,,
20005693,"  5693 (1993 EA)",5693,,,Y,Y,0,16.79,,,,,,,,,,2.496,,,,,,,,,"JPL 440",2460600.5,60600,2024-10-17.0,J2000,0.5851,1.271,0.527,5.06,96.98,258.98,203.14,2.01,0.6882,2460828.42,2025-06-01.9,523,1.43,0.00577,2.25,3.44,4.89,1.3e-09,4.4e-10,1.6e-09,8.2e-08,6.6e-07,6.1e-07,7.7e-07,6.9e-10,3.6e-10,1.2e-06,2.7e-07,APO,"Otto Matic",14717,1984-01-10,2024-04-26,2847,,,0,.47614,,,,,,,,,
20006037,"  6037 (1988 EG)",6037,,,Y,Y,0,18.87,,,,,,,,,,2.7602,,,,,,,,,"JPL 165",2460600.5,60600,2024-10-17.0,J2000,0.4997,1.272,0.636,3.51,182.18,242.32,249.72,1.91,0.6874,2460760.94,2025-03-26.4,524,1.43,0.0241,9.4,3.44,4.95,9.1e-09,5.2e-10,1.2e-08,1.8e-06,2.0e-05,2.0e-05,1.8e-06,7.8e-10,4.2e-10,2.7e-06,3.2e-07,APO,"Otto Matic",13260,1988-03-12,2024-07-01,1100,5,4,0,.32622,,,,,,,,,
20006239,"  6239 Minos (1989 QF)",6239,Minos,,Y,Y,0,18.61,,,,,,,,,,3.5558,,,,,,,,,"JPL 241",2460600.5,60600,2024-10-17.0,J2000,0.4126,1.151,0.676,3.94,344.53,239.77,224.50,1.63,0.7982,2460770.27,2025-04-04.7,451,1.23,0.0263,10.2,3.36,5.38,2.4e-09,1.4e-09,3.0e-09,9.2e-08,2.0e-06,1.7e-06,3.8e-06,2.0e-09,1.5e-09,5.1e-06,8.3e-07,APO,"Otto Matic",14890,1983-01-14,2023-10-21,1502,3,0,0,.45851,,,,1.4e-14,2.3e-15,,,,
20006489,"  6489 Golevka (1991 JX)",6489,Golevka,,Y,Y,0,19.22,,,,,,,0.53,,0.151,6.026,,,,,Q,,,0.03,"JPL 107",2460600.5,60600,2024-10-17.0,J2000,0.6151,2.484,0.956,2.27,209.42,68.66,151.88,4.01,0.2518,2459997.28,2023-02-21.7,1.43e+03,3.91,0.024,9.36,1.16,3.18,2.3e-09,2.0e-09,5.2e-09,6.2e-07,2.2e-05,2.3e-05,1.6e-06,3.2e-09,3.0e-10,5.5e-06,1.7e-06,APO,"Otto Matic",8968,1991-04-15,2015-11-03,1017,20,20,0,.62902,,,,-1.2e-14,1.5e-15,,,,
20007335,"  7335 (1989 JA)",7335,,,Y,Y,1,17.70,,,,,,,1.8,,0.448,2.58988,,,,,,,,,"JPL 223",2460600.5,60600,2024-10-17.0,J2000,0.4846,1.772,0.913,15.17,61.28,232.27,349.17,2.63,0.4178,2460626.41,2024-11-11.9,862,2.36,0.0231,8.98,2.66,3.92,3.8e-09,9.8e-10,6.5e-09,2.9e-07,5.0e-07,6.2e-07,1.8e-07,1.5e-09,3.5e-10,4.6e-07,7.1e-07,APO,"Otto Matic",12808,1989-04-06,2024-04-30,2648,4,5,0,.34318,,,,-2.4e-14,2.3e-15,,,,
20007341,"  7341 (1991 VK)",7341,,,Y,Y,0,16.96,,,,,,,0.982,,0.235,4.2096,,,,,Sq,,,0.32,"JPL 445",2460600.5,60600,2024-10-17.0,J2000,0.5061,1.841,0.909,5.41,294.73,173.48,37.89,2.77,0.3944,2460504.43,2024-07-12.9,913,2.5,0.0471,18.3,2.39,3.85,1.9e-09,3.6e-10,3.4e-09,1.1e-07,4.9e-06,5.5e-06,3.6e-07,5.4e-10,1.1e-10,9.0e-07,2.6e-07,APO,"Otto Matic",11636,1991-09-12,2023-07-22,2443,10,3,0,.34634,,,,-5.8e-15,9.3e-16,,,,
20007482,"  7482 (1994 PC1)",7482,,,Y,Y,0,16.66,,,,,,,1.052,,0.277,2.5999,,,,,S,,,0.30,"JPL 218",2460600.5,60600,2024-10-17.0,J2000,0.3294,1.349,0.904,33.47,117.85,47.49,246.56,1.79,0.6293,2460780.76,2025-04-15.2,572,1.57,0.000596,0.232,3.37,4.66,5.7e-09,6.5e-09,1.0e-08,6.0e-07,1.1e-06,2.2e-06,3.2e-06,8.6e-09,4.5e-09,6.4e-06,4.1e-06,APO,"Otto Matic",18247,1974-09-22,2024-09-06,1491,2,2,0,.3655,,,,3.7e-15,9.2e-15,,,,
20007753,"  7753 (1988 XB)",7753,,,Y,Y,0,18.02,,,,,,,,,,42.2,,,,,B,,,,"JPL 235",2460600.5,60600,2024-10-17.0,J2000,0.4817,1.467,0.761,3.12,73.39,280.08,95.85,2.17,0.5545,2460427.66,2024-04-27.1,649,1.78,0.00655,2.55,3.27,4.48,8.6e-09,2.1e-09,1.3e-08,3.5e-06,2.5e-05,2.5e-05,1.6e-06,3.1e-09,1.2e-09,2.6e-06,1.4e-06,APO,"Otto Matic",12528,1988-12-05,2023-03-25,1305,8,9,0,.41001,,,,-1.1e-14,3.7e-15,,,,
20007822,"  7822 (1991 CS)",7822,,,Y,Y,0,17.34,,,,,,,1.602,,0.075,2.3896,,,,,S,,,0.01,"JPL 315",2460600.5,60600,2024-10-17.0,J2000,0.1646,1.123,0.938,37.12,156.84,249.45,182.35,1.31,0.8285,2460814.92,2025-05-19.4,435,1.19,0.0226,8.81,3.96,5.37,1.1e-09,1.0e-09,1.0e-09,1.7e-07,2.3e-07,2.9e-07,3.0e-06,1.2e-09,1.2e-09,3.9e-06,6.1e-07,APO,"Otto Matic",11845,1991-01-19,2023-06-25,3958,0,4,0,.3009,,,,-5.6e-15,1.5e-15,,,,
20008014,"  8014 (1990 MF)",8014,,,Y,Y,0,18.88,,,,,,,0.7,,,50.09,,,,,,,,,"JPL 178",2460600.5,60600,2024-10-17.0,J2000,0.4560,1.747,0.951,1.87,209.84,114.73,291.48,2.54,0.4268,2460761.05,2025-03-26.5,844,2.31,0.0169,6.57,2.81,4.01,8.1e-09,6.6e-09,1.4e-08,5.2e-07,5.7e-05,5.7e-05,3.6e-06,9.6e-09,2.4e-09,9.3e-06,4.8e-06,APO,"Otto Matic",12294,1990-06-14,2024-02-10,1272,9,12,0,.29211,,,,-2.2e-14,4.3e-15,,,,
20008566,"  8566 (1996 EN)",8566,,,Y,Y,0,16.48,,,,,,,1.568,,0.217,4.845,,,,,U,,,0.26,"JPL 288",2460600.5,60600,2024-10-17.0,J2000,0.4302,1.506,0.858,37.97,164.12,125.13,90.11,2.15,0.5331,2460431.47,2024-04-30.9,675,1.85,0.0214,8.33,3.48,4.22,3.2e-09,8.9e-10,5.2e-09,2.9e-07,3.9e-07,6.6e-07,6.2e-07,1.3e-09,4.7e-10,1.1e-06,6.0e-07,APO,"Otto Matic",14969,1983-04-06,2024-03-30,3627,,,0,.37277,,,,,,,,,
