"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20359369,"359369 (2009 YG)",359369,,,Y,Y,0,18.52,,,,,,,,,,,,,,,,,,,"JPL 48",2460600.5,60600,2024-10-17.0,J2000,0.6960,2.15,0.654,3.38,138.62,67.77,237.63,3.65,0.3126,2460991.94,2025-11-12.4,1.15e+03,3.15,0.0116,4.52,1.32,3.34,4.1e-08,1.1e-08,8.7e-08,9.0e-06,8.6e-05,8.6e-05,1.1e-05,1.8e-08,2.3e-09,3.9e-05,8.6e-06,APO,"Otto Matic",4406,2006-10-22,2018-11-14,169,,,0,.6071,,,,,,,,,
20360191,"360191 (1988 TA)",360191,,,Y,Y,0,21.08,,,,,,,0.4,,,,,,,,,,,,"JPL 53",2460600.5,60600,2024-10-17.0,J2000,0.4786,1.54,0.803,2.53,194.65,105.26,329.39,2.28,0.5156,2460659.86,2024-12-15.3,698,1.91,0.0058,2.26,2.96,4.33,1.9e-08,1.5e-09,2.9e-08,5.8e-06,8.6e-05,8.6e-05,3.7e-06,2.3e-09,7.7e-10,7.2e-06,1.0e-06,APO,"Otto Matic",8984,1988-10-05,2013-05-11,304,5,4,0,.35835,,,,,,,,,
20361754,"361754 (2007 YV29)",361754,,,Y,Y,0,19.18,,,,,,,,,,,,,,,,,,,"JPL 50",2460600.5,60600,2024-10-17.0,J2000,0.3568,1.373,0.883,21.88,59.30,321.87,201.77,1.86,0.6124,2460858.87,2025-07-02.3,588,1.61,0.0463,18,3.63,4.68,1.8e-08,2.8e-09,2.5e-08,4.8e-06,2.4e-06,4.2e-06,9.4e-06,3.8e-09,1.9e-09,1.6e-05,1.8e-06,APO,"Otto Matic",7955,2002-04-11,2024-01-21,206,,,0,.63042,,,,,,,,,
20363024,"363024 (1998 OK1)",363024,,,Y,Y,0,19.42,,,,,,,0.558,,0.099,,,,,,,,,0.01,"JPL 80",2460600.5,60600,2024-10-17.0,J2000,0.4293,1.356,0.774,13.99,109.64,298.64,160.98,1.94,0.6241,2460342.58,2024-02-02.0,577,1.58,0.0394,15.3,3.51,4.73,2.5e-08,3.0e-09,3.4e-08,5.7e-06,8.4e-06,1.0e-05,3.7e-06,4.3e-09,2.1e-09,5.3e-06,1.9e-06,APO,"Otto Matic",9371,1998-07-21,2024-03-17,287,3,0,0,.3892,,,,,,,,,
20363067,"363067 (2000 CO101)",363067,,,Y,Y,1,19.21,,,,,,,,,0.110,5.12,,,,,Xk,,,,"JPL 161",2460600.5,60600,2024-10-17.0,J2000,0.0901,1.076,0.979,15.32,353.03,64.95,125.28,1.17,0.8826,2460458.56,2024-05-28.0,408,1.12,0.0224,8.72,3.94,5.71,1.2e-08,1.2e-09,1.3e-08,6.5e-06,2.2e-06,1.2e-05,1.4e-05,1.3e-09,1.5e-09,1.5e-05,6.9e-07,APO,"Otto Matic",7383,2000-02-04,2020-04-22,1146,6,0,0,.31966,,,,,,,,,
20363116,"363116 (2001 GQ2)",363116,,,Y,Y,0,20.32,,,,,,,,,,,,,,,,,,,"JPL 90",2460600.5,60600,2024-10-17.0,J2000,0.5030,1.214,0.604,21.82,37.11,280.30,153.15,1.83,0.7365,2460392.55,2024-03-23.0,489,1.34,0.00439,1.71,3.67,5.06,2.2e-07,4.9e-09,2.7e-07,1.3e-05,3.2e-06,2.7e-05,2.9e-05,7.4e-09,4.5e-09,3.8e-05,3.0e-06,APO,"Otto Matic",7326,2001-04-14,2021-05-05,593,1,2,0,.37226,,,,,,,,,
20363305,"363305 (2002 NV16)",363305,,,Y,Y,0,21.41,,,,,,,,,,0.9067,,,,,,,,,"JPL 104",2460600.5,60600,2024-10-17.0,J2000,0.2208,1.239,0.965,3.50,183.26,179.24,12.50,1.51,0.7148,2460583.01,2024-09-29.5,504,1.38,0.0282,11,3.93,5.15,3.5e-09,2.5e-09,2.5e-09,1.5e-06,4.4e-05,4.5e-05,6.3e-06,3.1e-09,2.2e-09,8.9e-06,1.5e-06,APO,"Otto Matic",8020,2002-07-13,2024-06-27,426,4,0,0,.43308,,,,-2.7e-14,5.6e-15,,,,
20363344,"363344 (2002 QC7)",363344,,,Y,Y,0,19.98,,,,,,,,,,,,,,,,,,,"JPL 64",2460600.5,60600,2024-10-17.0,J2000,0.1960,1.169,0.940,26.80,336.01,184.47,354.54,1.40,0.7796,2460607.50,2024-10-24.0,462,1.26,0.0476,18.5,3.59,5.28,7.9e-08,2.2e-09,9.3e-08,1.2e-05,4.0e-06,1.3e-05,1.9e-05,2.6e-09,2.2e-09,2.4e-05,1.3e-06,APO,"Otto Matic",7159,2002-08-19,2022-03-26,182,2,3,0,.51612,,,,,,,,,
20363599,"363599 (2004 FG11)",363599,,,Y,Y,1,21.04,,,,,,,0.152,,0.306,7.021,,,,,,,,0.00,"JPL 110",2460600.5,60600,2024-10-17.0,J2000,0.7236,1.587,0.439,3.14,83.45,228.81,69.50,2.73,0.4932,2460459.58,2024-05-29.0,730,2,0.0204,7.94,2.57,4.04,7.9e-08,2.7e-09,1.3e-07,4.1e-06,1.5e-04,1.5e-04,2.3e-06,4.6e-09,1.3e-09,4.6e-06,1.9e-06,APO,"Otto Matic",7323,2004-03-23,2024-04-10,470,4,4,0,.40268,,,,-5.8e-14,5.0e-15,,,,
20363734,"363734 (2004 XN50)",363734,,,Y,Y,0,18.82,,,,,,,,,,,,,,,,,,,"JPL 73",2460600.5,60600,2024-10-17.0,J2000,0.7782,1.681,0.373,3.31,62.40,253.41,55.37,2.99,0.4521,2460478.02,2024-06-16.5,796,2.18,0.00826,3.22,2.34,3.81,4.7e-08,2.5e-09,8.0e-08,5.4e-06,9.2e-05,9.2e-05,1.0e-05,4.5e-09,1.0e-09,2.3e-05,1.8e-06,APO,"Otto Matic",7077,2004-12-14,2024-04-30,310,,,0,.526,,,,,,,,,
20363790,"363790 (2005 JE46)",363790,,,Y,Y,0,17.85,,,,,,,,,,,,,,,,,,,"JPL 150",2460600.5,60600,2024-10-17.0,J2000,0.5523,1.903,0.852,8.27,238.33,114.77,90.46,2.95,0.3754,2460359.54,2024-02-19.0,959,2.63,0.029,11.3,2.56,3.73,1.2e-08,2.6e-09,2.4e-08,3.4e-06,6.2e-06,6.5e-06,6.0e-06,4.1e-09,7.7e-10,1.6e-05,2.0e-06,APO,"Otto Matic",14176,1984-06-22,2023-04-15,917,4,0,0,.40137,,,,,,,,,
20363831,"363831 (2005 PY16)",363831,,,Y,Y,0,19.35,,,,,,,0.371,,0.268,,,,,,,,,0.11,"JPL 65",2460600.5,60600,2024-10-17.0,J2000,0.5250,1.976,0.939,6.41,159.31,193.53,327.45,3.01,0.3549,2460692.22,2025-01-16.7,1.01e+03,2.78,0.0418,16.3,2.43,3.68,3.0e-08,1.8e-08,5.8e-08,4.8e-06,7.2e-05,7.0e-05,1.7e-05,2.7e-08,4.8e-09,4.8e-05,1.4e-05,APO,"Otto Matic",5299,2005-08-01,2020-02-03,236,,,0,.43444,,,,,,,,,
20365014,"365014 (2008 OX2)",365014,,,Y,Y,0,20.10,,,,,,,,,,,,,,,,,,,"JPL 77",2460600.5,60600,2024-10-17.0,J2000,0.6019,1.048,0.417,6.65,220.11,252.03,293.32,1.68,0.9193,2460673.03,2024-12-28.5,392,1.07,0.0322,12.5,3.48,5.68,5.2e-08,2.5e-09,5.5e-08,3.3e-06,4.6e-05,4.4e-05,9.5e-06,4.0e-09,3.3e-09,1.0e-05,1.4e-06,APO,"Otto Matic",5891,2008-06-11,2024-07-28,299,,,0,.41014,,,,,,,,,
20365071,"365071 (2009 AV)",365071,,,Y,Y,0,18.18,,,,,,,0.674,,0.246,,,,,,,,,0.01,"JPL 153",2460600.5,60600,2024-10-17.0,J2000,0.0739,1.03,0.954,45.87,150.73,322.13,79.79,1.11,0.9433,2460515.91,2024-07-24.4,382,1.04,0.0195,7.58,3.92,5.67,2.5e-09,4.3e-10,2.6e-09,5.4e-07,6.3e-07,6.0e-06,7.5e-06,4.7e-10,6.0e-10,7.9e-06,2.4e-07,APO,"Otto Matic",3170,2009-01-02,2017-09-07,1195,1,0,0,.48142,,,,,,,,,
20366746,"366746 (2004 LJ)",366746,,,Y,Y,0,20.16,,,,,,,,,,,,,,,,,,,"JPL 69",2460600.5,60600,2024-10-17.0,J2000,0.4614,1.087,0.585,18.28,246.69,256.10,52.20,1.59,0.8702,2460540.52,2024-08-18.0,414,1.13,0.027,10.5,3.56,5.56,1.4e-07,3.3e-09,1.6e-07,1.6e-05,1.8e-05,2.0e-05,1.1e-05,4.8e-09,3.9e-09,1.3e-05,1.9e-06,APO,"Otto Matic",6263,2004-06-09,2021-08-02,315,,,0,.49452,,,,,,,,,
20366774,"366774 (2004 TB18)",366774,,,Y,Y,0,17.87,,,,,,,0.859,,0.199,,,,,,,,,0.01,"JPL 158",2460600.5,60600,2024-10-17.0,J2000,0.4507,1.815,0.997,13.20,120.98,13.18,10.58,2.63,0.4032,2460574.26,2024-09-20.7,893,2.44,0.021,8.19,2.44,3.89,9.8e-09,2.8e-09,1.8e-08,4.8e-07,1.7e-06,1.9e-06,3.7e-06,4.0e-09,9.2e-10,9.1e-06,2.0e-06,APO,"Otto Matic",6926,2004-09-21,2023-09-08,698,,,0,.54567,,,,,,,,,
20367248,"367248 (2007 MK13)",367248,,,Y,Y,0,20.21,,,,,,,0.386,,0.119,5.286,,,,,,,,0.01,"JPL 55",2460600.5,60600,2024-10-17.0,J2000,0.1397,1.025,0.881,19.88,95.08,259.97,185.35,1.17,0.9505,2460784.25,2025-04-18.7,379,1.04,0.0322,12.5,4.08,5.91,1.9e-07,3.3e-08,1.6e-07,2.5e-05,8.5e-06,2.9e-05,2.7e-04,3.8e-08,4.6e-08,3.0e-04,1.8e-05,APO,"Otto Matic",2183,2007-06-21,2013-06-12,310,,,1,.40484,,,,,,,,,
20367789,"367789 (2011 AG5)",367789,,,Y,Y,0,21.77,,,,,,,,,,9.4357,,,,,,,,,"JPL 90",2460600.5,60600,2024-10-17.0,J2000,0.3882,1.424,0.871,3.69,135.59,54.05,336.11,1.98,0.58,2460641.69,2024-11-27.1,621,1.7,0.000169,0.0659,2.98,4.62,1.9e-08,1.2e-09,2.6e-08,4.4e-06,1.1e-05,1.2e-05,1.4e-06,1.7e-09,7.5e-10,2.5e-06,8.0e-07,APO,"Otto Matic",5397,2008-10-03,2023-07-14,444,4,2,0,.35986,,,,,,,,,
20368203,"368203 (2001 KO2)",368203,,,Y,Y,0,20.56,,,,,,,,,,,,,,,,,,,"JPL 35",2460600.5,60600,2024-10-17.0,J2000,0.6177,2.479,0.948,12.46,242.30,328.84,339.25,4.01,0.2524,2460682.71,2025-01-07.2,1.43e+03,3.9,0.00555,2.16,1.11,3.16,6.2e-08,4.1e-08,1.7e-07,1.7e-05,2.1e-05,4.7e-05,4.8e-05,6.6e-08,6.2e-09,1.9e-04,3.5e-05,APO,"Otto Matic",4456,2001-05-21,2013-08-02,122,,,0,.55213,,,,,,,,,
20368565,"368565 (2004 FE5)",368565,,,Y,Y,0,20.09,,,,,,,,,,,,,,,,,,,"JPL 47",2460600.5,60600,2024-10-17.0,J2000,0.6005,1.245,0.497,18.30,189.40,243.47,337.80,1.99,0.7092,2460631.80,2024-11-17.2,508,1.39,0.0355,13.8,3.45,4.92,5.9e-08,3.2e-09,7.3e-08,8.4e-06,2.0e-05,2.0e-05,9.4e-06,5.1e-09,2.7e-09,1.3e-05,1.9e-06,APO,"Otto Matic",7459,2004-03-22,2024-08-23,161,,,0,.61932,,,,,,,,,
20369057,"369057 (2008 DK5)",369057,,,Y,Y,0,21.32,,,,,,,,,,,,,,,,,,,"JPL 34",2460600.5,60600,2024-10-17.0,J2000,0.6151,1.555,0.598,4.27,345.62,81.00,237.26,2.51,0.5084,2460841.91,2025-06-15.4,708,1.94,0.00882,3.43,2.85,4.21,8.5e-08,1.7e-08,1.4e-07,1.2e-05,4.5e-05,4.8e-05,5.1e-05,2.7e-08,8.2e-09,1.0e-04,1.1e-05,APO,"Otto Matic",2700,2008-02-28,2015-07-21,157,,,0,.53694,,,,,,,,,
20369264,"369264 (2009 MS)",369264,,,Y,Y,0,16.34,,,,,,,1.515,,0.232,,,,,,,,,0.47,"JPL 79",2460600.5,60600,2024-10-17.0,J2000,0.5700,2.005,0.862,52.38,252.05,219.54,269.44,3.15,0.3472,2460861.37,2025-07-04.8,1.04e+03,2.84,0.043,16.8,2.58,3.22,3.5e-10,4.3e-10,7.0e-10,1.3e-07,1.3e-07,1.6e-07,3.4e-07,6.7e-10,1.1e-10,1.1e-06,3.3e-07,APO,"Otto Matic",5575,2009-06-19,2024-09-23,472,3,2,0,.63139,,,,,,,,,
20371660,"371660 (2007 CN26)",371660,,,Y,Y,0,21.11,,,,,,,0.230,,0.160,,,,,,,,,0.08,"JPL 73",2460600.5,60600,2024-10-17.0,J2000,0.2693,1.292,0.944,7.59,159.27,135.69,231.68,1.64,0.6708,2460791.79,2025-04-26.2,537,1.47,0.00234,0.912,3.55,4.98,1.5e-08,3.6e-09,2.0e-08,2.1e-06,8.3e-06,1.2e-05,1.3e-05,4.5e-09,2.8e-09,2.0e-05,2.2e-06,APO,"Otto Matic",5802,2007-02-10,2022-12-30,286,7,5,0,.51154,,,,,,,,,
20373135,"373135 (2011 SD173)",373135,,,Y,Y,0,19.52,,,,,,,1.050,,0.025,,,,,,,,,0.40,"JPL 65",2460600.5,60600,2024-10-17.0,J2000,0.4974,1.653,0.831,4.39,203.12,59.49,122.83,2.48,0.4638,2460335.66,2024-01-26.1,776,2.13,0.00161,0.628,2.62,4.12,3.2e-08,2.3e-08,5.3e-08,6.1e-06,6.5e-05,6.6e-05,3.9e-05,3.4e-08,9.6e-09,7.9e-05,1.6e-05,APO,"Otto Matic",6998,1996-10-11,2015-12-09,217,,,0,.59206,,,,,,,,,
20374038,"374038 (2004 HW)",374038,,,Y,Y,0,17.20,,,,,,,,,,2.52,,,,,,,,,"JPL 95",2460600.5,60600,2024-10-17.0,J2000,0.6353,2.691,0.981,0.83,219.87,62.78,223.39,4.40,0.2233,2461212.34,2026-06-20.8,1.61e+03,4.41,0.00924,3.59,0.781,3.04,3.6e-08,1.1e-08,9.7e-08,7.5e-06,3.4e-04,3.4e-04,9.8e-06,1.8e-08,1.4e-09,4.7e-05,9.8e-06,APO,"Otto Matic",6798,2004-04-18,2022-11-28,344,,,0,.58373,,,,,,,,,
20374158,"374158 (2004 UL)",374158,,,Y,Y,0,18.67,,,,,,,,,,38,,,,,,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.9266,1.266,0.093,23.85,39.47,149.68,319.04,2.44,0.6916,2460659.72,2024-12-15.2,521,1.43,0.0173,6.73,2.59,4.45,4.9e-08,8.1e-09,6.2e-08,2.0e-05,1.9e-05,1.8e-05,3.2e-05,1.6e-08,6.7e-09,4.7e-05,5.0e-06,APO,"Otto Matic",8061,2001-09-18,2023-10-14,275,,,0,.57544,,,,,,,,,
20374851,"374851 (2006 VV2)",374851,,,Y,Y,1,16.72,,,,,,,,,,2.425,,,,,,,,,"JPL 176",2460600.5,60600,2024-10-17.0,J2000,0.6054,2.387,0.942,23.73,9.82,145.04,280.26,3.83,0.2673,2460898.79,2025-08-11.2,1.35e+03,3.69,0.012,4.68,1.39,3.17,8.9e-09,5.5e-09,2.2e-08,6.0e-06,1.5e-06,5.0e-06,6.4e-06,8.8e-09,9.2e-10,2.5e-05,4.6e-06,APO,"Otto Matic",8033,2002-10-04,2024-10-01,1570,1,0,0,.37175,,,,,,,,,
20374855,"374855 (2006 VQ13)",374855,,,Y,Y,0,20.11,,,,,,,,,,,,,,,,,,,"JPL 67",2460600.5,60600,2024-10-17.0,J2000,0.4458,1.099,0.609,16.70,233.68,73.80,251.14,1.59,0.855,2460727.81,2025-02-21.3,421,1.15,0.00858,3.34,3.73,5.52,9.7e-08,9.7e-10,1.1e-07,1.0e-05,7.4e-06,1.2e-05,6.8e-06,1.4e-09,1.1e-09,8.0e-06,5.6e-07,APO,"Otto Matic",8469,1998-11-23,2022-01-30,603,,,0,.35415,,,,,,,,,
20375054,"375054 (2007 PF6)",375054,,,Y,Y,0,20.81,,,,,,,,,,,,,,,,,,,"JPL 34",2460600.5,60600,2024-10-17.0,J2000,0.4164,1.298,0.758,25.60,316.33,251.27,279.71,1.84,0.6662,2460721.01,2025-02-14.5,540,1.48,0.0294,11.5,3.36,4.83,1.1e-07,9.6e-09,1.5e-07,2.2e-05,1.3e-05,2.4e-05,2.0e-05,1.4e-08,7.4e-09,3.1e-05,6.0e-06,APO,"Otto Matic",4180,2007-08-08,2019-01-17,100,,,0,.64786,,,,,,,,,
20375103,"375103 (2007 TD71)",375103,,,Y,Y,0,18.50,,,,,,,,,,,,,,,,,,,"JPL 56",2460600.5,60600,2024-10-17.0,J2000,0.2799,1.286,0.926,49.75,49.58,220.75,308.16,1.65,0.6757,2460677.22,2025-01-01.7,533,1.46,0.0293,11.4,3.47,4.66,1.3e-07,1.0e-08,1.6e-07,2.0e-05,1.1e-05,3.0e-05,6.0e-05,1.3e-08,7.8e-09,8.9e-05,6.2e-06,APO,"Otto Matic",7390,2003-10-23,2024-01-16,150,,,0,.57838,,,,,,,,,
20377097,"377097 (2002 WQ4)",377097,,,Y,Y,0,19.69,,,,,,,,,,36,,,,,,,,,"JPL 69",2460600.5,60600,2024-10-17.0,J2000,0.5564,1.958,0.869,3.94,266.87,244.62,320.91,3.05,0.3597,2460709.15,2025-02-02.6,1e+03,2.74,0.0194,7.54,1.99,3.67,2.7e-08,9.0e-09,5.3e-08,1.1e-05,5.9e-05,6.2e-05,1.2e-05,1.4e-08,2.5e-09,3.4e-05,6.9e-06,APO,"Otto Matic",23210,1950-12-11,2014-06-28,230,,,0,.58032,,,,-2.3e-14,6.0e-15,,,,
20377732,"377732 (2005 XJ8)",377732,,,Y,Y,0,17.07,,,,,,,0.986,,0.288,42.89,,,,,,,,0.03,"JPL 174",2460600.5,60600,2024-10-17.0,J2000,0.6204,1.931,0.733,23.56,115.79,67.46,337.57,3.13,0.3672,2460661.60,2024-12-17.0,980,2.68,0.0148,5.78,2.28,3.57,1.5e-08,2.6e-09,2.9e-08,5.7e-06,4.1e-06,4.4e-06,2.6e-06,4.2e-09,7.3e-10,7.2e-06,2.0e-06,APO,"Otto Matic",6860,2005-12-04,2024-09-15,853,,,0,.47228,,,,,,,,,
20378358,"378358 (2007 LD)",378358,,,Y,Y,0,19.32,,,,,,,,,,,,,,,,,,,"JPL 43",2460600.5,60600,2024-10-17.0,J2000,0.4393,1.726,0.968,16.51,226.16,316.98,257.82,2.48,0.4346,2460835.58,2025-06-09.0,828,2.27,0.0381,14.8,2.57,4.01,6.8e-08,9.9e-09,1.2e-07,2.3e-05,3.7e-05,4.1e-05,2.9e-05,1.4e-08,3.7e-09,6.9e-05,7.1e-06,APO,"Otto Matic",5806,2007-06-07,2023-04-30,141,,,0,.64104,,,,,,,,,
20381906,"381906 (2010 CL19)",381906,,,Y,Y,0,17.80,,,,,,,0.520,,0.451,3.5197,,,,,,,,0.11,"JPL 160",2460600.5,60600,2024-10-17.0,J2000,0.6455,1.543,0.547,7.31,243.78,76.82,271.11,2.54,0.5144,2460773.32,2025-04-07.8,700,1.92,0.0114,4.45,2.84,4.2,1.8e-08,6.0e-09,2.9e-08,3.5e-06,1.7e-05,1.7e-05,1.2e-05,9.8e-09,3.0e-09,2.4e-05,4.1e-06,APO,"Otto Matic",8416,2001-01-25,2024-02-10,1101,2,0,0,.41888,,,,,,,,,
20382395,"382395 (1990 SM)",382395,,,Y,Y,0,16.46,,,,,,,,,,,,,,,,,,,"JPL 73",2460600.5,60600,2024-10-17.0,J2000,0.7639,2.106,0.497,11.61,136.17,107.74,81.91,3.71,0.3225,2460346.48,2024-02-05.9,1.12e+03,3.06,0.0319,12.4,1.53,3.27,1.1e-07,9.5e-09,2.4e-07,4.5e-06,8.0e-05,7.8e-05,1.2e-05,1.7e-08,2.2e-09,3.7e-05,7.6e-06,APO,"Otto Matic",13513,1987-09-28,2024-09-26,204,,,0,.61792,,,,,,,,,
20382406,"382406 (1996 AJ1)",382406,,,Y,Y,0,20.57,,,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.7814,1.31,0.286,2.54,90.94,238.33,121.03,2.33,0.6571,2460416.31,2024-04-15.8,548,1.5,0.00487,1.89,3.04,4.6,3.5e-07,2.2e-08,4.5e-07,3.5e-05,3.9e-04,3.9e-04,1.6e-05,3.9e-08,1.6e-08,2.4e-05,1.4e-05,APO,"Otto Matic",9877,1996-01-12,2023-01-27,116,,,0,.68379,,,,,,,,,
20382745,"382745 (2003 CC)",382745,,,Y,Y,0,20.41,,,,,,,,,,,,,,,,,,,"JPL 51",2460600.5,60600,2024-10-17.0,J2000,0.3268,1.501,1.010,2.32,136.29,103.24,225.18,1.99,0.5361,2460851.97,2025-06-25.4,671,1.84,0.0364,14.1,3.02,4.48,4.4e-08,4.0e-09,6.5e-08,7.7e-06,1.0e-04,1.0e-04,2.0e-05,5.3e-09,2.1e-09,3.8e-05,2.7e-06,APO,"Otto Matic",4986,2003-02-01,2016-09-26,176,,,0,.61202,,,,,,,,,
20382758,"382758 (2003 GY)",382758,,,Y,Y,0,20.19,,,,,,,,,,,,,,,,,,,"JPL 99",2460600.5,60600,2024-10-17.0,J2000,0.3172,1.38,0.942,4.67,321.79,334.15,36.00,1.82,0.6081,2460541.29,2024-08-18.7,592,1.62,0.0228,8.88,3.38,4.74,1.1e-08,1.6e-09,1.6e-08,3.6e-06,4.0e-05,4.1e-05,1.1e-05,2.1e-09,1.1e-09,1.8e-05,1.0e-06,APO,"Otto Matic",7678,2003-04-05,2024-04-12,371,1,2,0,.5364,,,,,,,,,
20382825,"382825 (2003 XB22)",382825,,,Y,Y,0,19.30,,,,,,,,,,,,,,,,,,,"JPL 86",2460600.5,60600,2024-10-17.0,J2000,0.3935,1.405,0.852,29.96,108.76,118.29,94.91,1.96,0.5916,2460440.08,2024-05-09.5,608,1.67,0.0127,4.94,3.31,4.53,5.2e-08,2.3e-09,7.3e-08,1.5e-05,5.9e-06,1.2e-05,1.1e-05,3.2e-09,1.4e-09,1.9e-05,1.5e-06,APO,"Otto Matic",7517,2003-12-15,2024-07-14,358,,,0,.54505,,,,,,,,,
20385252,"385252 (2001 EB18)",385252,,,Y,Y,0,19.41,,,,,,,,,,,,,,,,,,,"JPL 33",2460600.5,60600,2024-10-17.0,J2000,0.1837,1.053,0.860,50.06,155.46,101.92,231.63,1.25,0.9122,2460741.23,2025-03-06.7,395,1.08,0.0287,11.2,3.97,5.51,9.2e-08,2.8e-09,9.9e-08,4.6e-05,5.7e-06,3.0e-05,3.5e-05,3.3e-09,3.6e-09,3.9e-05,1.6e-06,APO,"Otto Matic",5301,2001-03-01,2015-09-05,82,3,1,0,.48511,,,,,,,,,
20385343,"385343 (2002 LV)",385343,,,Y,Y,0,16.56,,,,,,,1.359,,0.334,6.195,,,,,,,,0.46,"JPL 294",2460600.5,60600,2024-10-17.0,J2000,0.6052,2.314,0.914,29.53,132.15,224.23,100.45,3.72,0.2799,2460241.68,2023-10-24.1,1.29e+03,3.52,0.00784,3.05,2.11,3.17,6.5e-10,9.4e-10,1.4e-09,4.2e-07,5.8e-07,7.0e-07,5.3e-07,1.5e-09,1.7e-10,1.7e-06,7.8e-07,APO,"Otto Matic",7937,2002-06-01,2024-02-23,1943,,,0,.43655,,,,,,,,,
20385605,"385605 (2005 EJ225)",385605,,,Y,Y,0,18.95,,,,,,,,,,,,,,,,,,,"JPL 72",2460600.5,60600,2024-10-17.0,J2000,0.5736,1.706,0.728,8.86,341.99,290.71,230.95,2.68,0.4423,2460892.29,2025-08-04.7,814,2.23,0.0176,6.84,2.51,3.98,4.0e-08,5.0e-09,6.9e-08,1.1e-05,2.7e-05,2.9e-05,7.8e-06,7.9e-09,1.9e-09,1.8e-05,3.6e-06,APO,"Otto Matic",6877,2005-02-04,2023-12-04,260,,,0,.51239,,,,,,,,,
20386454,"386454 (2008 XM)",386454,,,Y,Y,0,20.03,,,,,,,0.367,,0.128,,,,,,,,,0.01,"JPL 32",2460600.5,60600,2024-10-17.0,J2000,0.9093,1.222,0.111,5.45,240.61,27.39,301.03,2.33,0.7295,2460681.34,2025-01-05.8,493,1.35,0.00469,1.83,2.78,4.66,2.7e-08,8.7e-09,3.3e-08,1.9e-05,7.2e-05,7.1e-05,4.1e-05,1.7e-08,7.8e-09,5.7e-05,5.3e-06,APO,"Otto Matic",5486,2008-12-02,2023-12-10,104,,,0,.58698,,,,,,,,,
20386847,"386847 (2010 LR33)",386847,,,Y,Y,0,18.06,,,,,,,0.663,,0.211,,,,,,,,,0.01,"JPL 109",2460600.5,60600,2024-10-17.0,J2000,0.4625,1.692,0.909,5.83,352.07,333.22,169.15,2.47,0.448,2460222.89,2023-10-05.3,804,2.2,0.029,11.3,2.88,4.08,3.8e-08,4.4e-09,6.4e-08,4.4e-06,4.1e-05,4.1e-05,8.1e-06,6.5e-09,1.8e-09,1.7e-05,3.1e-06,APO,"Otto Matic",8326,2001-03-26,2024-01-11,396,,,0,.50702,,,,,,,,,
20387505,"387505 (1998 KN3)",387505,,,Y,Y,0,18.78,,,,,,,1.060,,0.074,,,,,,,,,0.02,"JPL 76",2460600.5,60600,2024-10-17.0,J2000,0.8734,1.542,0.195,2.29,313.24,71.25,248.78,2.89,0.5146,2460816.61,2025-05-21.1,700,1.92,0.0182,7.07,2.58,3.9,3.3e-08,4.1e-09,5.1e-08,4.0e-06,1.6e-04,1.6e-04,8.9e-06,7.6e-09,2.0e-09,1.8e-05,2.8e-06,APO,"Otto Matic",9106,1998-05-24,2023-04-29,1501,,,0,.26308,,,,,,,,,
20387668,"387668 (2002 SZ)",387668,,,Y,Y,0,20.51,,,,,,,,,,,,,,,,,,,"JPL 40",2460600.5,60600,2024-10-17.0,J2000,0.4335,1.297,0.735,22.89,346.84,276.56,22.88,1.86,0.6671,2460566.20,2024-09-12.6,540,1.48,0.00223,0.866,3.45,4.84,1.0e-07,7.6e-09,1.4e-07,2.5e-05,1.2e-05,1.6e-05,2.9e-05,1.1e-08,5.8e-09,4.3e-05,4.7e-06,APO,"Otto Matic",4189,2002-09-26,2014-03-16,158,,,0,.60876,,,,,,,,,
20387746,"387746 (2003 MH4)",387746,,,Y,Y,0,20.10,,,,,,,0.366,,0.132,,,,,,,,,0.01,"JPL 72",2460600.5,60600,2024-10-17.0,J2000,0.5133,1.964,0.956,3.90,259.55,323.53,287.43,2.97,0.358,2460803.22,2025-05-07.7,1.01e+03,2.75,0.00335,1.3,2.02,3.7,2.3e-08,6.0e-09,4.6e-08,6.1e-06,1.1e-04,1.0e-04,8.8e-06,9.0e-09,1.6e-09,2.4e-05,4.6e-06,APO,"Otto Matic",4236,2003-01-26,2014-09-01,283,,,0,.53822,,,,,,,,,
